episode,tard,maint,total,timestamp,seed
20,539.965519,772.525947,1312.491466,2026-03-10 08:41:55,1397551677
40,426.488692,1100.000000,1526.488692,2026-03-10 08:43:24,988596488
60,442.096186,789.702271,1231.798457,2026-03-10 08:44:56,1388516733
80,370.430748,900.000000,1270.430748,2026-03-10 08:46:29,1660473773
100,148.322465,800.000000,948.322465,2026-03-10 08:48:02,457904863
100,159.373144,836.445650,995.818795,2026-03-10 08:48:07,42
