time,event,mid,state,action,kind,duration,h,dh,eta,slack_pressure,im_count,im_damage,risk_h,risk_trend,im_longterm_penalty,opportunity_cost,p_fail,expected_fail_cost,downtime_cost,delta_t_since_last_maint,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue,local_urgency,breakdown_flag,breakdown_cost,t_e,t_l,window_violation,risk_t,mat_cost,scrap_part_cost
13.41972640154123,scheduling,,"[6.0,1.0,1.0,1.0,200.0,2.0,62.79558181762695,62.79558181762695,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,200.0,2.0,0,0,True,"{""mid"":4,""t0"":13.41972640154123,""t1"":27.96804846426727,""jid"":0,""oid"":0}",201.8064702021673,False,,False,0.0,,,,,,0.0
27.96804846426727,maintenance,4,"[0.9696646928787231,0.0,100.0,0.0,0.0,62.79558181762695,200.0,2.0,0.0001671173668000847,0.0,119.91980743408203,0.9696646928787231,0.009999999776482582,27.968048095703125,0.0022171656601130962,0.0022046344820410013,0.002232746686786413]",0,DN,0.0,0.9696647041559823,0.0,100.0,0.0,0,0.0,0.00016711737085869577,0.0,0.0,0.0,0.00016711737085869577,0.0,0.0,27.96804846426727,200.0,2.0,,,,,,,0.0,False,0.0,27.96804846426727,147.88785893136898,False,0.00016711737085869577,0.0,0.0
27.96804846426727,scheduling,,"[6.0,1.0,1.0,1.0,200.0,2.0,62.79558181762695,62.79558181762695,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,200.0,2.0,0,0,True,"{""mid"":5,""t0"":27.96804846426727,""t1"":57.51238689122532,""jid"":0,""oid"":1}",201.8064702021673,False,,False,0.0,,,,,,0.0
34.55109763387432,scheduling,,"[5.0,2.0,1.0,2.0,21.131370544433594,2.0,45.942283630371094,37.72608184814453,0.0,0.1666666716337204,0.0,1.0]",,,,,,,,,,,,,,,,,,21.13137123233309,2.0,1,0,True,"{""mid"":3,""t0"":34.55109763387432,""t1"":90.6636992209705,""jid"":1,""oid"":0}",141.567196726016,False,,False,0.0,,,,,,0.0
38.56471595400727,scheduling,,"[4.0,3.0,1.0,3.0,12.572494506835938,2.0,43.624202728271484,34.72978591918945,0.0,0.3333333432674408,0.0,1.0]",,,,,,,,,,,,,,,,,,12.57249477623302,2.0,1,0,True,"{""mid"":0,""t0"":38.56471595400727,""t1"":94.29271486369963,""jid"":2,""oid"":0}",179.6105404580502,False,,False,0.0,,,,,,0.0
53.66834623394425,scheduling,,"[3.0,4.0,1.0,4.0,13.416206359863281,2.0,26.80289077758789,18.08330535888672,0.0,0.5,0.0,1.0]",,,,,,,,,,,,,,,,,,13.416206610801007,2.0,1,5,True,"{""mid"":2,""t0"":53.66834623394425,""t1"":71.88593363950439,""jid"":3,""oid"":0}",118.61790489752735,False,,False,0.0,,,,,,0.0
57.51238689122532,maintenance,5,"[0.9305487275123596,0.0,100.0,0.0,0.0,30.344934463500977,13.416206359863281,2.0,0.0002470957988407463,0.0,119.88145446777344,0.9305487275123596,0.009999999776482582,57.512386322021484,0.003261361038312316,0.003150501986965537,0.0031955577433109283]",0,DN,0.0,0.9305487320419462,0.0,100.0,0.0,0,0.0,0.00024709579889541924,0.0,0.0,0.0,0.00024709579889541924,0.0,0.0,57.51238689122532,13.416206610801007,2.0,,,,,,,0.0,False,0.0,57.51238689122532,177.39383950252972,False,0.00024709579889541924,0.0,0.0
71.88593363950439,maintenance,2,"[0.9593409299850464,0.0,100.0,0.0,0.0,29.336044311523438,11.150369644165039,2.0,0.00018528888176660985,0.0,119.91109466552734,0.9593409299850464,0.009999999776482582,71.88593292236328,0.002354447031393647,0.0023907218128442764,0.002377189928665757]",0,DN,0.0,0.9593409158659997,0.0,100.0,0.0,0,0.0,0.00018528887491640889,0.0,0.0,0.0,0.00018528887491640889,0.0,0.0,71.88593363950439,11.150369831661203,2.0,,,,,,,0.0,False,0.0,71.88593363950439,191.79702793009199,False,0.00018528887491640889,0.0,0.0
71.88593363950439,scheduling,,"[4.0,5.0,3.0,5.0,11.150369644165039,2.0,29.336044311523438,4.479940891265869,0.0,0.3333333432674408,0.20000000298023224,1.0]",,,,,,,,,,,,,,,,,,11.150369831661203,2.0,1,2,True,"{""mid"":2,""t0"":71.88593363950439,""t1"":84.44202889404012,""jid"":3,""oid"":1}",118.61790489752735,False,,False,0.0,,,,,,0.0
84.44202889404012,maintenance,2,"[0.9582007527351379,-0.0011401409283280373,752.7146606445312,0.0,0.0,18.140499114990234,11.150369644165039,2.0,0.00018741312669590116,0.0,119.91007232666016,0.9582007527351379,0.009999999776482582,84.44203186035156,0.0024146256037056446,0.002408319618552923,0.0023471596650779247]",0,DN,0.0,0.9582007749705849,-0.0011401408954148096,752.7146674783135,0.0,0,0.0,0.00018741311991536975,0.0,0.0,0.0,0.00018741311991536975,0.0,0.0,84.44202889404012,11.150369831661203,2.0,,,,,,,0.0,False,0.0,84.44202889404012,204.35210430678697,False,0.00018741311991536975,0.0,0.0
