time,event,mid,state,action,kind,duration,h,dh,eta,slack_pressure,im_count,im_damage,risk_h,risk_trend,im_longterm_penalty,opportunity_cost,p_fail,expected_fail_cost,downtime_cost,delta_t_since_last_maint,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue,local_urgency,breakdown_flag,breakdown_cost,t_e,t_l,window_violation,risk_t,mat_cost,scrap_part_cost
60.95523400579414,scheduling,,"[6.0,1.0,1.0,1.0,0.004999999888241291,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,0.005,0.0,1,1,True,"{""mid"":4,""t0"":60.95523400579414,""t1"":80.37645707921442,""jid"":0,""oid"":0}",199.08089807697723,False,,False,0.0,,,,,,0.0
80.37645707921442,maintenance,4,"[0.9464077949523926,0.0,100.0,0.0,0.0,6.723579406738281,1.0,0.004999999888241291,0.3461975157260895,0.0,0.030351784080266953,0.0,106.28079223632812,0.9464077949523926,0.009999999776482582,80.37645721435547]",0,DN,0.0,0.9464078014994453,0.0,100.0,0.0,0,0.0,0.030351784887018868,0.0,0.0,0.0,0.030351784887018868,0.0,0.0,80.37645707921442,0.005,0.34619752474474724,,,,,,,0.0,False,0.0,80.37645707921442,186.65725230553528,False,0.030351784887018868,0.0,0.0
80.37645707921442,scheduling,,"[6.0,1.0,1.0,1.0,0.004999999888241291,0.3461975157260895,6.723579406738281,6.723579406738281,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,0.005,0.34619752474474724,1,0,True,"{""mid"":0,""t0"":80.37645707921442,""t1"":140.11740927649106,""jid"":0,""oid"":1}",199.08089807697723,False,,False,0.0,,,,,,0.0
116.75527133941263,scheduling,,"[5.0,3.0,2.0,3.0,0.014999999664723873,-0.8297291398048401,-16.114355087280273,-27.461753845214844,0.3315935730934143,0.1666666716337204,0.6666666865348816,0.0]",,,,,,,,,,,,,,,,,,0.015,-0.8297291526336413,0,0,True,"{""mid"":3,""t0"":116.75527133941263,""t1"":161.41410151996092,""jid"":2,""oid"":0}",238.05413014476431,False,,False,0.0,,,,,,0.0
124.848241319749,scheduling,,"[4.0,4.0,2.0,4.0,0.019999999552965164,-0.9348275065422058,-18.155492782592773,-34.457984924316406,0.36484572291374207,0.3333333432674408,0.75,0.0]",,,,,,,,,,,,,,,,,,0.02,-0.9348275152126323,3,4,True,"{""mid"":4,""t0"":124.848241319749,""t1"":134.81443469774612,""jid"":3,""oid"":0}",258.0693519554034,False,,False,0.0,,,,,,0.0
134.81443469774612,maintenance,4,"[0.9208374619483948,-0.025570351630449295,12.547245025634766,0.4404626786708832,0.0,-23.225801467895508,4.0,0.019999999552965164,-1.5806629657745361,0.0,0.0388517901301384,0.0,102.72798919677734,0.9208374619483948,0.009999999776482582,134.81443786621094]",0,DN,0.0,0.9208374506908894,-0.025570350808555853,12.547244779431693,0.44046266486442054,0,0.0,0.038851788675748566,0.0,0.0,0.0,0.038851788675748566,0.0,0.0,134.81443469774612,0.02,-1.5806630023473753,,,,,,,0.0,False,0.0,134.81443469774612,237.54242129688748,False,0.038851788675748566,0.0,0.0
134.81443469774612,scheduling,,"[4.0,4.0,2.0,4.0,0.019999999552965164,-1.5806629657745361,-23.225801467895508,-44.42417526245117,0.4404626786708832,0.3333333432674408,0.75,0.0]",,,,,,,,,,,,,,,,,,0.02,-1.5806630023473753,3,4,True,"{""mid"":5,""t0"":134.81443469774612,""t1"":151.30852099992794,""jid"":3,""oid"":1}",258.0693519554034,False,,False,0.0,,,,,,0.0
140.11740927649106,maintenance,0,"[0.9471793174743652,0.0,100.0,0.40194207429885864,0.3504163920879364,-20.562705993652344,4.0,0.019999999552965164,-0.6921266317367554,0.0,0.03012554906308651,14.016655921936035,106.37701416015625,0.9471793174743652,0.009999999776482582,140.11741638183594]",0,DN,0.0,0.94717930014203,0.0,100.0,0.4019420620979929,0,0.0,0.030125549409933627,0.0,0.0,0.0,0.030125549409933627,0.0,0.0,140.11740927649106,0.02,-0.6921266277772548,,,,,,,0.350416399365564,False,0.0,154.1340652511136,246.49442597932085,False,0.030125549409933627,0.0,0.0
140.11740927649106,scheduling,,"[4.0,4.0,2.0,4.0,0.019999999552965164,-0.6921266317367554,-20.562705993652344,-36.44361877441406,0.40194207429885864,0.3333333432674408,0.75,0.0]",,,,,,,,,,,,,,,,,,0.02,-0.6921266277772548,0,0,True,"{""mid"":0,""t0"":140.11740927649106,""t1"":170.12049180949555,""jid"":1,""oid"":0}",153.81296306696638,True,,False,0.0,,,,,,0.0
140.11740927649106,scheduling,,"[3.0,4.0,1.0,4.0,0.019999999552965164,-0.6921266317367554,-20.562705993652344,-36.44361877441406,0.40194207429885864,0.5,0.75,0.0]",,,,,,,,,,,,,,,,,,0.02,-0.6921266277772548,3,4,True,"{""mid"":1,""t0"":140.11740927649106,""t1"":156.41144050190437,""jid"":0,""oid"":2}",199.08089807697723,False,,False,0.0,,,,,,0.0
