episode,tard,maint,total,timestamp,seed
20,583.013201,1210.000000,1793.013201,2026-03-10 08:32:41,1397551677
40,278.047173,534.791743,812.838916,2026-03-10 08:34:33,988596488
60,477.044005,781.371295,1258.415300,2026-03-10 08:36:29,1388516733
80,379.874979,610.000000,989.874979,2026-03-10 08:38:26,1660473773
100,121.396806,614.639371,736.036177,2026-03-10 08:40:25,457904863
100,177.212735,597.196601,774.409336,2026-03-10 08:40:30,42
