episode,tard,maint,total,timestamp,seed
20,654.289455,5737.007311,6391.296766,2026-03-11 10:51:55,42
40,857.503032,5700.283441,6557.786472,2026-03-11 10:54:34,42
60,1339.185558,10636.000000,11975.185558,2026-03-11 10:57:15,42
80,738.459522,3394.000000,4132.459522,2026-03-11 10:59:58,42
100,974.965279,8093.689900,9068.655179,2026-03-11 11:02:41,42
100,381.031421,9259.662130,9640.693551,2026-03-11 11:02:47,42
