time,event,mid,state,action,kind,duration,h,dh,eta,slack_pressure,im_count,im_damage,p_fail,expected_fail_cost,downtime_cost,delta_t_since_last_maint,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue
34.70250005928987,scheduling,,"[8.0,1.0,1.0,1.0,0.004999999888241291,1.2464563846588135,37.39369201660156,37.39369201660156,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,0.005,1.2464564263447404,2,4,True,"{""mid"":2,""t0"":34.70250005928987,""t1"":59.74613752765467,""jid"":0,""oid"":0}",146.8835784303165,False
59.74613752765467,maintenance,2,"[0.9432762861251831,0.0,100.0,0.0,37.39369201660156,1.0,0.004999999888241291,1.4931414127349854,0.0,0.0,0.24327626824378967,0.6432762742042542,0.0,0.0,0.0,0.0,59.74613571166992]",0,DN,0.0,0.9432762629743131,0.0,100.0,0.0,0,0.0,0.0016054208568466457,0.012843366854773166,0.0,59.74613752765467,0.005,1.493141435128105,,,,,,
59.74613752765467,scheduling,,"[8.0,1.0,1.0,1.0,0.004999999888241291,1.4931414127349854,37.39369201660156,37.39369201660156,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,0.005,1.493141435128105,2,4,True,"{""mid"":1,""t0"":59.74613752765467,""t1"":84.31272066303066,""jid"":0,""oid"":1}",146.8835784303165,False
84.31272066303066,maintenance,1,"[0.9940275549888611,0.0,100.0,0.0,28.369306564331055,1.0,0.004999999888241291,1.1436879634857178,0.0,0.0,0.29402756690979004,0.6940275430679321,0.0,0.0,0.0,0.0,84.3127212524414]",0,DN,0.0,0.9940275524938752,0.0,100.0,0.0,0,0.0,0.0009670667281387595,0.007736533825110076,0.0,84.31272066303066,0.005,1.1436879479446675,,,,,,
84.31272066303066,scheduling,,"[8.0,1.0,1.0,1.0,0.004999999888241291,1.1436879634857178,28.369306564331055,28.369306564331055,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,0.005,1.1436879479446675,2,4,True,"{""mid"":6,""t0"":84.31272066303066,""t1"":89.33583384499016,""jid"":0,""oid"":2}",146.8835784303165,False
89.33583384499016,maintenance,6,"[0.9909248352050781,0.0,100.0,0.0,28.369306564331055,1.0,0.004999999888241291,1.5578019618988037,0.0,0.0,0.2909248173236847,0.6909248232841492,0.0,0.0,0.0,0.0,89.33583068847656]",0,DN,0.0,0.9909248135455846,0.0,100.0,0.0,0,0.0,0.0009975122330807512,0.00798009786464601,0.0,89.33583384499016,0.005,1.5578020084386277,,,,,,
89.33583384499016,scheduling,,"[8.0,1.0,1.0,1.0,0.004999999888241291,1.5578019618988037,28.369306564331055,28.369306564331055,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,0.005,1.5578020084386277,2,4,True,"{""mid"":4,""t0"":89.33583384499016,""t1"":99.73822722652184,""jid"":0,""oid"":3}",146.8835784303165,False
99.73822722652184,maintenance,4,"[0.9993900656700134,0.0,100.0,0.0,150.0,1.0,0.004999999888241291,5.0,0.0,0.0,0.2993900775909424,0.6993900537490845,0.0,0.0,0.0,0.0,99.73822784423828]",0,DN,0.0,0.9993900646909841,0.0,100.0,0.0,0,0.0,0.0009166198892783316,0.0073329591142266524,0.0,99.73822722652184,0.005,5.0,,,,,,
103.16397276310903,scheduling,,"[8.0,1.0,1.0,2.0,0.009999999776482582,3.5906007289886475,58.37933349609375,58.37933349609375,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,0.01,3.5906007586890327,3,3,True,"{""mid"":0,""t0"":103.16397276310903,""t1"":127.35820672242247,""jid"":1,""oid"":0}",278.30197124452616,False
127.35820672242247,maintenance,0,"[0.9737315773963928,0.0,100.0,0.0,66.20073699951172,2.0,0.009999999776482582,3.7095577716827393,0.0,0.0,0.2737315595149994,0.6737315654754639,0.0,0.0,0.0,0.0,127.35820770263672]",0,DN,0.0,0.9737315593813306,0.0,100.0,0.0,0,0.0,0.001184421608785269,0.009475372870282151,0.0,127.35820672242247,0.01,3.7095577036747986,,,,,,
127.35820672242247,scheduling,,"[8.0,1.0,1.0,2.0,0.009999999776482582,3.7095577716827393,66.20073699951172,66.20073699951172,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,0.01,3.7095577036747986,3,3,True,"{""mid"":6,""t0"":127.35820672242247,""t1"":147.06015382246915,""jid"":1,""oid"":1}",278.30197124452616,False
147.06015382246915,maintenance,6,"[0.9550712704658508,-0.03585352003574371,18.270767211914062,0.0,70.9349136352539,2.0,0.009999999776482582,3.9071147441864014,0.0,0.0,0.2550712823867798,0.6550713181495667,0.0,0.0,0.0,0.0,147.06015014648438]",0,DN,0.0,0.9550712934181953,-0.03585352012738929,18.270766471205484,0.0,0,0.0,0.0014270569814024603,0.011416455851219682,0.0,147.06015382246915,0.01,3.907114794248181,,,,,,
147.06015382246915,scheduling,,"[8.0,1.0,1.0,2.0,0.009999999776482582,3.9071147441864014,70.9349136352539,70.9349136352539,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,0.01,3.907114794248181,3,3,True,"{""mid"":3,""t0"":147.06015382246915,""t1"":155.06256802047739,""jid"":1,""oid"":2}",278.30197124452616,False
155.06256802047739,maintenance,3,"[0.9811696410179138,0.0,100.0,0.0,79.3343276977539,2.0,0.009999999776482582,4.74916410446167,0.0,0.0,0.2811696231365204,0.6811696290969849,0.0,0.0,0.0,0.0,155.06256103515625]",0,DN,0.0,0.9811696298473318,0.0,100.0,0.0,0,0.0,0.0010996135083094665,0.008796908066475732,0.0,155.06256802047739,0.01,4.749163990993138,,,,,,
155.06256802047739,scheduling,,"[8.0,1.0,1.0,2.0,0.009999999776482582,4.74916410446167,79.3343276977539,79.3343276977539,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,0.01,4.749163990993138,3,3,True,"{""mid"":6,""t0"":155.06256802047739,""t1"":198.96764647736995,""jid"":1,""oid"":3}",278.30197124452616,False
198.96764647736995,maintenance,6,"[0.8657573461532593,-0.08931393176317215,6.3344807624816895,0.0,150.0,2.0,0.009999999776482582,5.0,0.0,0.0,0.16575735807418823,0.5657573342323303,0.0,0.0,0.0,0.0,198.9676513671875]",0,DN,0.0,0.8657573636566741,-0.0893139297615212,6.334480692623352,0.0,0,0.0,0.0034788324851457134,0.027830659881165707,0.0,198.96764647736995,0.01,5.0,,,,,,
258.24568083553135,scheduling,,"[8.0,1.0,1.0,2.0,0.009999999776482582,1.9857090711593628,39.92253112792969,39.92253112792969,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,0.01,1.9857090622653326,2,4,True,"{""mid"":1,""t0"":258.24568083553135,""t1"":293.5064575543397,""jid"":2,""oid"":0}",378.0132767979215,False
282.4385341640676,scheduling,,"[7.0,2.0,2.0,3.0,0.014999999664723873,2.2901816368103027,44.428138732910156,21.469369888305664,0.0,0.125,0.0,0.0]",,,,,,,,,,,,,,0.015,2.290181653696882,3,2,True,"{""mid"":5,""t0"":282.4385341640676,""t1"":290.1704633380325,""jid"":2,""oid"":0}",378.0132767979215,False
