time,event,mid,state,action,kind,duration,h,dh,eta,slack_pressure,im_count,im_damage,risk_h,risk_trend,im_longterm_penalty,opportunity_cost,p_fail,expected_fail_cost,downtime_cost,delta_t_since_last_maint,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue,local_urgency,breakdown_flag,breakdown_cost
1.5808861354125439,scheduling,,"[8.0,1.0,1.0,1.0,0.004999999888241291,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,0.005,0.0,0,1,True,"{""mid"":0,""t0"":1.5808861354125439,""t1"":20.975924250967317,""jid"":0,""oid"":0}",56.896872122520264,False,,False,0.0
20.975924250967317,maintenance,0,"[0.9745224714279175,0.0,100.0,0.0,0.0,1.5048916339874268,1.0,0.004999999888241291,0.07759157568216324,0.0,0.0,0.9745224714279175,0.009999999776482582,0.27452248334884644,0.6745225191116333,0.0,0.0,0.0,0.0,20.975923538208008]",0,DN,0.0,0.9745224923794394,0.0,100.0,0.0,0,0.0,0.007371354388537421,0.0,0.0,0.0,0.0011751015421020187,0.00940081233681615,0.0,20.975924250967317,0.005,0.07759157722319161,,,,,,,0.0,False,0.0
20.975924250967317,scheduling,,"[8.0,1.0,1.0,1.0,0.004999999888241291,0.07759157568216324,1.5048916339874268,1.5048916339874268,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,0.005,0.07759157722319161,0,2,True,"{""mid"":5,""t0"":20.975924250967317,""t1"":32.50303036639571,""jid"":0,""oid"":1}",56.896872122520264,False,,False,0.0
32.50303036639571,maintenance,5,"[0.9947383403778076,0.0,100.0,0.0,0.0,6.602208614349365,1.0,0.004999999888241291,0.4270213842391968,0.0,0.0,0.9947383403778076,0.009999999776482582,0.2947383522987366,0.6947383880615234,0.0,0.0,0.0,0.0,32.503028869628906]",0,DN,0.0,0.9947383613124882,0.0,100.0,0.0,0,0.0,0.0060194062961237416,0.0,0.0,0.0,0.0009602236824248317,0.007681789459398653,0.0,32.50303036639571,0.005,0.42702138899646,,,,,,,0.0,False,0.0
32.50303036639571,scheduling,,"[8.0,1.0,1.0,1.0,0.004999999888241291,0.4270213842391968,6.602208614349365,6.602208614349365,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,0.005,0.42702138899646,0,2,True,"{""mid"":4,""t0"":32.50303036639571,""t1"":41.41344923202682,""jid"":0,""oid"":2}",56.896872122520264,False,,False,0.0
33.356281493743396,scheduling,,"[7.0,2.0,2.0,2.0,0.009999999776482582,0.18591716885566711,2.874478578567505,0.5748957395553589,0.0,0.125,0.0,0.0]",,,,,,,,,,,,,,,,,,0.01,0.18591716408280856,0,2,True,"{""mid"":7,""t0"":33.356281493743396,""t1"":49.38569248420913,""jid"":1,""oid"":0}",178.39028404642374,False,,False,0.0
41.41344923202682,maintenance,4,"[0.9972066283226013,0.0,100.0,0.018022606149315834,0.0,-0.7274796366691589,2.0,0.009999999776482582,-0.05479031801223755,0.0,0.0,0.9972066283226013,0.009999999776482582,0.2972066402435303,0.6972066164016724,0.0,0.0,0.0,0.0,41.413448333740234]",0,DN,0.0,0.9972066299660125,0.0,100.0,0.018022605354501953,0,0.0,0.005872359335549415,0.0,0.0,0.0,0.0009368348234641066,0.007494678587712853,0.0,41.41344923202682,0.01,-0.05479031984294325,,,,,,,0.0,False,0.0
41.41344923202682,scheduling,,"[7.0,2.0,2.0,2.0,0.009999999776482582,-0.05479031801223755,-0.7274796366691589,-6.5912299156188965,0.018022606149315834,0.125,0.5,0.0]",,,,,,,,,,,,,,,,,,0.01,-0.05479031984294325,2,3,True,"{""mid"":3,""t0"":41.41344923202682,""t1"":49.50052114164941,""jid"":0,""oid"":3}",56.896872122520264,False,,False,0.0
49.38569248420913,maintenance,7,"[0.9494789242744446,0.0,100.0,0.0,0.011416956782341003,5.000834941864014,2.0,0.009999999776482582,0.35808509588241577,0.0,0.0,0.9494789242744446,0.009999999776482582,0.24947892129421234,0.6494789123535156,0.0,0.0,0.0,0.0,49.38569259643555]",0,DN,0.0,0.9494789210218622,0.0,100.0,0.0,0,0.0,0.009475806748611926,0.0,0.0,0.0,0.0015090131828142202,0.012072105462513761,0.0,49.38569248420913,0.01,0.358085083941088,,,,,,,0.011416956350422206,False,0.0
49.38569248420913,scheduling,,"[7.0,2.0,2.0,2.0,0.009999999776482582,0.35808509588241577,5.000834941864014,-0.09586082398891449,0.0,0.125,0.5,0.0]",,,,,,,,,,,,,,,,,,0.01,0.358085083941088,3,3,True,"{""mid"":7,""t0"":49.38569248420913,""t1"":58.124821446227585,""jid"":0,""oid"":3}",56.896872122520264,True,,False,0.0
