time,event,mid,state,action,kind,duration,h,dh,eta,slack_pressure,im_count,im_damage,risk_h,risk_trend,im_longterm_penalty,opportunity_cost,p_fail,expected_fail_cost,downtime_cost,delta_t_since_last_maint,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue,local_urgency,breakdown_flag,breakdown_cost
1.9948569182722542,scheduling,,"[8.0,1.0,1.0,1.0,0.004999999888241291,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,0.005,0.0,2,1,True,"{""mid"":4,""t0"":1.9948569182722542,""t1"":13.877953081188167,""jid"":0,""oid"":0}",49.086877940449526,False,,False,0.0
13.877953081188167,maintenance,4,"[0.9685813784599304,0.0,100.0,0.0,0.0,7.9306440353393555,1.0,0.004999999888241291,0.6673887372016907,0.0,0.0,0.9685813784599304,0.009999999776482582,0.268581360578537,0.6685813665390015,0.0,0.0,0.0,0.0,13.87795352935791]",0,DN,0.0,0.968581371744351,0.0,100.0,0.0,0,0.0,0.007823753185375537,0.0,0.0,0.0,0.0012469416107808115,0.009975532886246492,0.0,13.877953081188167,0.005,0.6673887131902596,,,,,,,0.0,False,0.0
13.877953081188167,scheduling,,"[8.0,1.0,1.0,1.0,0.004999999888241291,0.6673887372016907,7.9306440353393555,7.9306440353393555,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,0.005,0.6673887131902596,0,5,True,"{""mid"":0,""t0"":13.877953081188167,""t1"":57.362478076207346,""jid"":0,""oid"":1}",49.086877940449526,True,,False,0.0
57.362478076207346,maintenance,0,"[0.9290867447853088,0.0,100.0,0.0,0.0,150.0,1.0,0.004999999888241291,5.0,0.0,0.0,0.9290867447853088,0.009999999776482582,0.2290867418050766,0.6290867328643799,0.0,0.0,0.0,0.0,57.36247634887695]",0,DN,0.0,0.9290867350880462,0.0,100.0,0.0,0,0.0,0.011627599883362927,0.0,0.0,0.0,0.0018497240968911482,0.014797792775129185,0.0,57.362478076207346,0.005,5.0,,,,,,,0.0,False,0.0
105.78191469076201,scheduling,,"[8.0,1.0,1.0,2.0,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,0.01,0.0,2,1,True,"{""mid"":0,""t0"":105.78191469076201,""t1"":120.69717503464845,""jid"":1,""oid"":0}",164.09648416850928,False,,False,0.0
114.09572555559052,scheduling,,"[7.0,2.0,2.0,3.0,0.014999999664723873,-0.15015654265880585,-4.156905651092529,-7.4824299812316895,0.08406852930784225,0.125,0.5,0.0]",,,,,,,,,,,,,,,,,,0.015,-0.15015654801410935,3,3,True,"{""mid"":7,""t0"":114.09572555559052,""t1"":133.95303859705683,""jid"":1,""oid"":0}",164.09648416850928,False,,False,0.0
115.06407679574579,scheduling,,"[6.0,3.0,3.0,4.0,0.019999999552965164,-0.12342368066310883,-3.416837692260742,-7.6194000244140625,0.07654623687267303,0.25,0.6666666865348816,0.0]",,,,,,,,,,,,,,,,,,0.02,-0.12342368013126509,3,3,True,"{""mid"":3,""t0"":115.06407679574579,""t1"":129.14781196136812,""jid"":3,""oid"":0}",174.60475208754733,False,,False,0.0
120.69717503464845,maintenance,0,"[0.9055588841438293,-0.0235278457403183,25.737964630126953,0.07814070582389832,0.05501208081841469,-3.254507064819336,4.0,0.019999999552965164,-0.1389174908399582,0.0,0.0,0.9055588841438293,0.009999999776482582,0.2055588960647583,0.6055588722229004,0.0,0.0,0.0,0.0,120.69717407226562]",0,DN,0.0,0.905558888653319,-0.023527846434727162,25.737965025116473,0.07814070734627299,0,0.0,0.014727097212548279,0.0035278464347271617,0.0,0.0,0.002339236083619579,0.01871388866895663,0.0,120.69717503464845,0.02,-0.13891748830641767,,,,,,,0.05501207899214956,False,0.0
120.69717503464845,scheduling,,"[6.0,3.0,3.0,4.0,0.019999999552965164,-0.1389174908399582,-3.254507064819336,-6.407779216766357,0.07814070582389832,0.25,0.6666666865348816,0.0]",,,,,,,,,,,,,,,,,,0.02,-0.13891748830641767,3,3,True,"{""mid"":4,""t0"":120.69717503464845,""t1"":139.93232947835008,""jid"":3,""oid"":0}",174.60475208754733,False,,False,0.0
129.14781196136812,maintenance,3,"[0.9742268919944763,0.0,100.0,0.053933847695589066,0.04983008652925491,-2.2177114486694336,4.0,0.019999999552965164,-0.1051463931798935,0.0,0.0,0.9742268919944763,0.009999999776482582,0.2742269039154053,0.6742269396781921,0.0,0.0,0.0,0.0,129.14781188964844]",0,DN,0.0,0.9742269145095446,0.0,100.0,0.05393384890829589,0,0.0,0.007393228970823729,0.0,0.0,0.0,0.0011785759208320437,0.00942860736665635,0.0,129.14781196136812,0.02,-0.10514639540014882,,,,,,,0.04983008814941433,False,0.0
