time,event,mid,state,action,kind,duration,h,dh,eta,slack_pressure,im_count,im_damage,risk_h,risk_trend,im_longterm_penalty,opportunity_cost,p_fail,expected_fail_cost,downtime_cost,delta_t_since_last_maint,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue
94.30391447057642,scheduling,,"[8.0,1.0,1.0,1.0,0.004999999888241291,-0.9776350855827332,-29.329051971435547,-29.329051971435547,0.33465054631233215,0.0,1.0,0.0]",,,,,,,,,,,,,,,,,,0.005,-0.9776350907682788,1,2,True,"{""mid"":4,""t0"":94.30391447057642,""t1"":110.95192666044763,""jid"":0,""oid"":0}",123.63296719362481,False
95.1372311520411,scheduling,,"[7.0,2.0,2.0,2.0,0.009999999776482582,-1.8173154592514038,-54.51946258544922,-74.00514221191406,0.5566638112068176,0.125,1.0,0.0]",,,,,,,,,,,,,,,,,,0.01,-1.8173154440359185,1,3,True,"{""mid"":1,""t0"":95.1372311520411,""t1"":142.5621382613101,""jid"":0,""oid"":0}",123.63296719362481,True
110.95192666044763,maintenance,4,"[0.9525083303451538,0.0,100.0,0.5852121114730835,-54.3159294128418,2.0,0.009999999776482582,-3.2626075744628906,0.0,0.0,0.9525083303451538,0.009999999776482582,0.25250834226608276,0.6525083184242249,0.0,0.0,0.0,0.0,110.9519271850586]",0,DN,0.0,0.9525083366367575,0.0,100.0,0.5852121227601184,0,0.0,0.00028686534196782724,0.0,0.0,0.0,0.0014640503243748678,0.011712402594998943,0.0,110.95192666044763,0.01,-3.262607474407382,,,,,,
110.95192666044763,scheduling,,"[7.0,2.0,2.0,2.0,0.009999999776482582,-3.2626075744628906,-54.3159294128418,-86.6161880493164,0.5955947041511536,0.125,1.0,0.0]",,,,,,,,,,,,,,,,,,0.01,-3.262607474407382,0,0,True,"{""mid"":2,""t0"":110.95192666044763,""t1"":146.97956216635419,""jid"":0,""oid"":1}",123.63296719362481,True
118.84187954836517,scheduling,,"[6.0,3.0,3.0,3.0,0.014999999664723873,-3.510627269744873,-58.44496536254883,-92.24958801269531,0.6419956088066101,0.25,1.0,0.0]",,,,,,,,,,,,,,,,,,0.015,-3.510627253519661,0,0,True,"{""mid"":3,""t0"":118.84187954836517,""t1"":141.87455368855268,""jid"":0,""oid"":1}",123.63296719362481,True
141.87455368855268,maintenance,3,"[0.9279288053512573,0.0,100.0,0.8395700454711914,-99.78484344482422,3.0,0.014999999664723873,-5.0,1.0,0.0,0.9279288053512573,0.009999999776482582,0.22792881727218628,0.6279287934303284,0.0,0.0,0.0,0.0,141.8745574951172]",0,DN,0.0,0.9279288142934198,0.0,100.0,0.8395700616781259,0,0.0,0.00039002286340727353,0.0,0.0,0.0,0.0018712266090637989,0.014969812872510391,0.0,141.87455368855268,0.015,-5.0,,,,,,
141.87455368855268,scheduling,,"[6.0,2.0,2.0,3.0,0.014999999664723873,-5.0,-99.78484344482422,-120.44807434082031,0.8408189415931702,0.25,1.0,1.0]",,,,,,,,,,,,,,,,,,0.015,-5.0,0,2,True,"{""mid"":0,""t0"":141.87455368855268,""t1"":154.17399342742243,""jid"":1,""oid"":0}",174.01378838968316,False
142.5621382613101,maintenance,1,"[0.9363560676574707,0.0,100.0,0.8460108041763306,-100.47242736816406,3.0,0.014999999664723873,-3.4603664875030518,1.0,0.0,0.9363560676574707,0.009999999776482582,0.23635606467723846,0.6363560557365417,0.0,0.0,0.0,0.0,142.5621337890625]",0,DN,0.0,0.9363560629980116,0.0,100.0,0.8460108070095229,0,0.0,0.0003510344083507383,0.0,0.0,0.0,0.0017202556474442813,0.01376204517955425,0.0,142.5621382613101,0.015,-3.460366560960116,,,,,,
142.5621382613101,scheduling,,"[6.0,2.0,2.0,3.0,0.014999999664723873,-3.4603664875030518,-100.47242736816406,-121.13565826416016,0.8469409942626953,0.25,1.0,1.0]",,,,,,,,,,,,,,,,,,0.015,-3.460366560960116,0,2,True,"{""mid"":4,""t0"":142.5621382613101,""t1"":178.26975647859678,""jid"":1,""oid"":0}",174.01378838968316,True
146.97956216635419,maintenance,2,"[0.8800175189971924,0.0,100.0,0.8603774309158325,-104.88985443115234,3.0,0.014999999664723873,-3.4073612689971924,1.0,0.0,0.8800175189971924,0.009999999776482582,0.18001748621463776,0.5800175070762634,0.0,0.0,0.0,0.0,146.9795684814453]",0,DN,0.0,0.8800174909021095,0.0,100.0,0.8603774452606134,0,0.0,0.0007097671915942975,0.0,0.0,0.0,0.003017890015782982,0.024143120126263858,0.0,146.97956216635419,0.015,-3.4073613566989693,,,,,,
146.97956216635419,scheduling,,"[6.0,2.0,2.0,3.0,0.014999999664723873,-3.4073612689971924,-104.88985443115234,-125.5530776977539,0.8605917692184448,0.25,1.0,1.0]",,,,,,,,,,,,,,,,,,0.015,-3.4073613566989693,3,2,True,"{""mid"":5,""t0"":146.97956216635419,""t1"":185.10539430244984,""jid"":1,""oid"":0}",174.01378838968316,True
154.17399342742243,maintenance,0,"[0.9794900417327881,0.0,100.0,0.8411828279495239,-97.72879791259766,3.0,0.014999999664723873,-3.6080217361450195,1.0,0.0,0.9794900417327881,0.009999999776482582,0.27949002385139465,0.6794900298118591,0.0,0.0,0.0,0.0,154.1739959716797]",0,DN,0.0,0.9794900348980244,0.0,100.0,0.8411828312659212,0,0.0,0.00020474857145876918,0.0,0.0,0.0,0.0011182177090853804,0.008945741672683043,0.0,154.17399342742243,0.015,-3.608021684759373,,,,,,
