episode,tard,maint,total,timestamp,seed
20,1608.855375,12806.726854,14415.582229,2026-03-11 11:19:22,42
40,1275.343895,9672.480733,10947.824627,2026-03-11 11:22:03,42
60,876.715096,8800.520364,9677.235459,2026-03-11 11:24:42,42
80,3336.317611,12959.522866,16295.840477,2026-03-11 11:27:22,42
100,575.714415,8591.177007,9166.891422,2026-03-11 11:30:01,42
100,876.160892,7189.168489,8065.329381,2026-03-11 11:30:06,42
