time,event,maint_mode,maint_seq_global,maint_seq_machine,mid,state,action,kind,duration,h,dh,eta,slack_pressure,im_count,im_damage,risk_h,risk_trend,im_longterm_penalty,opportunity_cost,p_fail,expected_fail_cost,downtime_cost,delta_t_since_last_maint,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue,local_urgency,breakdown_flag,breakdown_kind,breakdown_cost,breakdown_count,hard_breakdown_count,stochastic_breakdown_count,requeued_op_count,interrupted_proc_time,t_e,t_l,window_violation,risk_t,mat_cost,scrap_part_cost
0.17010162510487903,scheduling,POMCP,,,,"[6.0,1.0,1.0,1.0,200.0,2.0,79.40615844726562,79.40615844726562,0.0,0.0,0.0,0.0,0.00012339458044152707,0.00012339458044152707]",,,,,,,,,,,,,,,,,,200.0,2.0,3,5,True,"{""mid"":1,""t0"":0.17010162510487903,""t1"":11.053498677682152,""jid"":0,""oid"":0,""status"":""DONE""}",158.98242047021344,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
11.053498677682152,maintenance,POMCP,1,1,1,"[0.9602606892585754,0.0,100.0,0.0,0.0,79.40615844726562,200.0,2.0,0.00018359279783908278,0.0,119.91191101074219,0.9602606892585754,0.009999999776482582,11.053498268127441,0.0029726088978350163,0.027339044958353043,0.0016072154976427555]",1,IM,10.0,0.9602606679352808,0.0,100.0,0.0,0,0.0,0.00018359280132622987,0.0,0.0,0.0,0.00018359280132622987,0.0,0.0,11.053498677682152,200.0,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,11.053498677682152,130.9654064831901,False,0.00018359280132622987,1.0,0.0
11.053498677682152,scheduling,POMCP,,,,"[5.0,1.0,1.0,1.0,200.0,2.0,79.40615844726562,79.40615844726562,0.0,0.0,0.0,0.0,0.00012933602556586266,0.0001361954491585493]",,,,,,,,,,,,,,,,,,200.0,2.0,3,5,True,"{""mid"":2,""t0"":11.053498677682152,""t1"":31.136279618688285,""jid"":0,""oid"":1,""status"":""DONE""}",158.98242047021344,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
31.136279618688285,maintenance,POMCP,2,1,2,"[0.956394612789154,0.0,100.0,0.0,0.0,95.77413940429688,200.0,2.0,0.00019082815560977906,0.0,119.90843963623047,0.956394612789154,0.009999999776482582,31.136280059814453,0.004173532128334045,0.01458031963557005,0.001977383391931653]",0,DN,0.0,0.9563946406588916,0.0,100.0,0.0,0,0.0,0.00019082815385323,0.0,0.0,0.0,6.940055811832279e-05,0.08966552108887305,0.0,31.136279618688285,200.0,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,31.136279618688285,151.04471705471454,False,0.00019082815385323,0.0,0.0
31.136279618688285,scheduling,POMCP,,,,"[6.0,1.0,1.0,1.0,200.0,2.0,95.77413940429688,95.77413940429688,0.0,0.0,0.0,0.0,0.00024133085389621556,0.0007803717162460089]",,,,,,,,,,,,,,,,,,200.0,2.0,3,5,True,"{""mid"":0,""t0"":31.136279618688285,""t1"":84.36858030148596,""jid"":0,""oid"":2,""status"":""DONE""}",158.98242047021344,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
84.36858030148596,maintenance,POMCP,3,1,0,"[0.9579554200172424,0.0,100.0,0.0,0.0,150.0,200.0,2.0,0.00018787343287840486,0.0,119.90985107421875,0.9579554200172424,0.009999999776482582,84.36858367919922,0.004371132235974073,0.014661562629044056,0.0019955113530158997]",0,DN,0.0,0.9579554159975654,0.0,100.0,0.0,0,0.0,0.00018787343290962546,0.0,0.0,0.0,0.00018318512833711645,0.23667518581155444,0.0,84.36858030148596,200.0,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,84.36858030148596,204.27843492977263,False,0.00018787343290962546,0.0,0.0
84.63525098203837,scheduling,POMCP,,,,"[6.0,1.0,1.0,2.0,84.46514892578125,2.0,84.5216064453125,84.5216064453125,0.0,0.0,0.0,0.0,0.000243595932261087,0.0007545370608568192]",,,,,,,,,,,,,,,,,,84.4651493569335,2.0,3,3,True,"{""mid"":4,""t0"":84.63525098203837,""t1"":106.58074599694947,""jid"":1,""oid"":0,""status"":""DONE""}",253.67846086667407,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
86.96413149066838,scheduling,POMCP,,,,"[5.0,2.0,1.0,3.0,43.39701461791992,2.0,87.88198852539062,83.33057403564453,0.0,0.1666666716337204,0.0,0.0,0.00029787770472466946,0.0009289701702073216]",,,,,,,,,,,,,,,,,,43.39701493278175,2.0,0,5,True,"{""mid"":1,""t0"":86.96413149066838,""t1"":97.65138408829957,""jid"":2,""oid"":0,""status"":""DONE""}",274.1066324972041,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
97.65138408829957,maintenance,POMCP,4,2,1,"[0.7872446179389954,-0.012755398638546467,53.878726959228516,0.0,0.0,84.77265930175781,43.39701461791992,2.0,0.001034867949783802,0.0,119.50428771972656,0.7872446179389954,0.009999999776482582,76.59788513183594,0.0049964613281190395,0.07115888595581055,0.0016035852022469044]",0,DN,0.0,0.7872446016871602,-0.012755398312839894,53.87872529197015,0.0,0,0.0,0.0010348679750988446,0.0,0.0,0.0,0.00025893652232226067,0.3345459868403608,0.0,76.59788541061741,43.39701493278175,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,97.65138408829957,217.15567415675997,False,0.0010348679750988446,0.0,0.0
97.65138408829957,scheduling,POMCP,,,,"[5.0,2.0,1.0,3.0,43.39701461791992,2.0,84.77265930175781,74.1589126586914,0.0,0.1666666716337204,0.0,0.0,0.0003693558101076633,0.0012317666551098228]",,,,,,,,,,,,,,,,,,43.39701493278175,2.0,0,5,True,"{""mid"":2,""t0"":97.65138408829957,""t1"":124.2247062521826,""jid"":2,""oid"":1,""status"":""DONE""}",274.1066324972041,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
