time,event,mid,state,action,kind,duration,h,dh,eta,goal,rule,dispatched,op,job_due,overdue
27.07058599759353,maintenance,0,"[1.0,0.0,100.0,0.4000000059604645,0.699999988079071,0.0,0.0,0.0,27.070585250854492]",0,DN,0.0,1.0,0.0,100.0,,,,,,
27.07058599759353,maintenance,1,"[1.0,0.0,100.0,0.4000000059604645,0.699999988079071,0.0,0.0,0.0,27.070585250854492]",0,DN,0.0,1.0,0.0,100.0,,,,,,
27.07058599759353,maintenance,2,"[1.0,0.0,100.0,0.4000000059604645,0.699999988079071,0.0,0.0,0.0,27.070585250854492]",0,DN,0.0,1.0,0.0,100.0,,,,,,
27.07058599759353,maintenance,3,"[1.0,0.0,100.0,0.4000000059604645,0.699999988079071,0.0,0.0,0.0,27.070585250854492]",0,DN,0.0,1.0,0.0,100.0,,,,,,
27.07058599759353,scheduling,,"[4.0,2.5,0.029999999329447746,4.0,0.0,1.0,0.0,0.0]",,,,,,,0,2,True,"{""mid"":0,""t0"":27.07058599759353,""t1"":40.047675332008026,""jid"":0,""oid"":0}",207.47577475488424,False
40.047675332008026,maintenance,0,"[0.9977678656578064,-0.0022321429569274187,312.6000061035156,0.3977678716182709,0.6977678537368774,0.0,0.0,0.0,40.04767608642578]",0,DN,0.0,0.9977678571428571,-0.0022321428571429047,312.5999999999934,,,,,,
40.047675332008026,maintenance,1,"[1.0,0.0,100.0,0.4000000059604645,0.699999988079071,0.0,0.0,0.0,40.04767608642578]",0,DN,0.0,1.0,0.0,100.0,,,,,,
40.047675332008026,maintenance,2,"[1.0,0.0,100.0,0.4000000059604645,0.699999988079071,0.0,0.0,0.0,40.04767608642578]",0,DN,0.0,1.0,0.0,100.0,,,,,,
40.047675332008026,maintenance,3,"[1.0,0.0,100.0,0.4000000059604645,0.699999988079071,0.0,0.0,0.0,40.04767608642578]",0,DN,0.0,1.0,0.0,100.0,,,,,,
40.047675332008026,scheduling,,"[4.0,2.5,0.029999999329447746,4.0,0.0,1.0,0.0,0.0]",,,,,,,0,2,True,"{""mid"":1,""t0"":40.047675332008026,""t1"":70.69789252241313,""jid"":0,""oid"":1}",207.47577475488424,False
45.63188706019352,maintenance,0,"[0.9977678656578064,0.0,100.0,0.3977678716182709,0.6977678537368774,0.0,0.0,0.0,45.63188552856445]",0,DN,0.0,0.9977678571428571,0.0,100.0,,,,,,
45.63188706019352,maintenance,2,"[1.0,0.0,100.0,0.4000000059604645,0.699999988079071,0.0,0.0,0.0,45.63188552856445]",0,DN,0.0,1.0,0.0,100.0,,,,,,
45.63188706019352,maintenance,3,"[1.0,0.0,100.0,0.4000000059604645,0.699999988079071,0.0,0.0,0.0,45.63188552856445]",0,DN,0.0,1.0,0.0,100.0,,,,,,
45.63188706019352,scheduling,,"[4.0,2.5,0.029999999329447746,3.0,0.0,2.0,0.25,0.0]",,,,,,,0,2,True,"{""mid"":2,""t0"":45.63188706019352,""t1"":50.78491863137682,""jid"":1,""oid"":0}",430.9558437898503,False
48.20856339472714,maintenance,0,"[0.9977678656578064,0.0,100.0,0.3977678716182709,0.6977678537368774,0.0,0.0,0.0,48.20856475830078]",0,DN,0.0,0.9977678571428571,0.0,100.0,,,,,,
48.20856339472714,maintenance,3,"[1.0,0.0,100.0,0.4000000059604645,0.699999988079071,0.0,0.0,0.0,48.20856475830078]",0,DN,0.0,1.0,0.0,100.0,,,,,,
48.20856339472714,scheduling,,"[4.0,2.5,0.029999999329447746,2.0,0.0,3.0,0.5,0.0]",,,,,,,1,1,True,"{""mid"":3,""t0"":48.20856339472714,""t1"":75.62314435062805,""jid"":1,""oid"":0}",430.9558437898503,False
50.78491863137682,maintenance,0,"[0.9977678656578064,0.0,100.0,0.3977678716182709,0.6977678537368774,0.0,0.0,0.0,50.78491973876953]",0,DN,0.0,0.9977678571428571,0.0,100.0,,,,,,
50.78491863137682,maintenance,2,"[0.9983922839164734,-0.001607717014849186,434.3999938964844,0.39839228987693787,0.6983922719955444,0.0,0.0,0.0,50.78491973876953]",0,DN,0.0,0.9983922829581994,-0.001607717041800627,434.4000000000044,,,,,,
50.78491863137682,scheduling,,"[4.0,2.5,0.029999999329447746,2.0,0.0,3.0,0.5,0.0]",,,,,,,1,1,True,"{""mid"":2,""t0"":50.78491863137682,""t1"":66.34195963014673,""jid"":1,""oid"":1}",430.9558437898503,False
52.731689396678554,maintenance,0,"[0.9977678656578064,0.0,100.0,0.3977678716182709,0.6977678537368774,0.0,0.0,0.0,52.731689453125]",0,DN,0.0,0.9977678571428571,0.0,100.0,,,,,,
52.731689396678554,scheduling,,"[4.0,2.5,0.029999999329447746,1.0,0.0,4.0,0.75,0.0]",,,,,,,1,1,True,"{""mid"":0,""t0"":52.731689396678554,""t1"":95.70484529362079,""jid"":1,""oid"":1}",430.9558437898503,False
66.34195963014673,maintenance,2,"[0.9935691356658936,-0.004823151044547558,143.8000030517578,0.39356914162635803,0.6935691237449646,0.0,0.0,0.0,66.34195709228516]",0,DN,0.0,0.9935691318327974,-0.004823151125401992,143.79999999999814,,,,,,
