time,event,mid,state,action,kind,duration,h,dh,eta,slack_pressure,im_count,p_fail,expected_fail_cost,downtime_cost,delta_t_since_last_maint,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue
12.674574691622432,scheduling,,"[8.0,1.0,1.0,1.0,0.004999999888241291,0.0,0.0,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,0.005,0.0,0,1,True,"{""mid"":5,""t0"":12.674574691622432,""t1"":26.051107276539113,""jid"":0,""oid"":0}",79.54227583990502,False
26.051107276539113,maintenance,5,"[0.9810267686843872,0.0,100.0,0.0,0.004999999888241291,0.44731324911117554,0.28102678060531616,0.6810267567634583,0.0,0.0,0.0,0.0,26.05110740661621]",0,DN,0.0,0.9810267857142857,0.0,100.0,0.0,0,0.0011011836331750212,0.00880946906540017,0.0,26.051107276539113,0.005,0.44731324945467527,,,,,,
26.051107276539113,scheduling,,"[8.0,1.0,1.0,1.0,0.004999999888241291,0.44731324911117554,5.9835004806518555,5.9835004806518555,0.0,0.0,0.0]",,,,,,,,,,,,,0.005,0.44731324945467527,0,1,True,"{""mid"":7,""t0"":26.051107276539113,""t1"":45.10626154725328,""jid"":0,""oid"":1}",79.54227583990502,False
45.10626154725328,maintenance,7,"[0.9438202381134033,0.0,100.0,0.0,0.004999999888241291,0.6318309903144836,0.2438202202320099,0.6438202261924744,0.0,0.0,0.0,0.0,45.10626220703125]",0,DN,0.0,0.9438202247191011,0.0,100.0,0.0,0,0.0015967255964338544,0.012773804771470835,0.0,45.10626154725328,0.005,0.6318309888244195,,,,,,
45.10626154725328,scheduling,,"[8.0,1.0,1.0,1.0,0.004999999888241291,0.6318309903144836,10.245672225952148,10.245672225952148,0.0,0.0,0.0]",,,,,,,,,,,,,0.005,0.6318309888244195,0,1,True,"{""mid"":3,""t0"":45.10626154725328,""t1"":59.68239882952639,""jid"":0,""oid"":2}",79.54227583990502,False
52.02074004096915,scheduling,,"[7.0,2.0,2.0,2.0,0.009999999776482582,0.1027141734957695,1.6655969619750977,0.33311939239501953,0.0,0.0,0.125]",,,,,,,,,,,,,0.01,0.10271417298555821,0,1,True,"{""mid"":1,""t0"":52.02074004096915,""t1"":85.82528656876232,""jid"":0,""oid"":2}",79.54227583990502,True
59.68239882952639,maintenance,3,"[0.9730538725852966,0.0,100.0,0.17431461811065674,0.009999999776482582,-0.4889606535434723,0.2730538845062256,0.6730539202690125,0.0,0.0,0.0,0.0,59.68239974975586]",0,DN,0.0,0.9730538922155688,0.0,100.0,0.17431461654015645,0,0.0011924656991776235,0.009539725593420988,0.0,59.68239882952639,0.01,-0.4889606525552437,,,,,,
59.68239882952639,scheduling,,"[7.0,1.0,1.0,2.0,0.009999999776482582,-0.4889606535434723,-7.661658763885498,-7.661658763885498,0.17431461811065674,1.0,0.125]",,,,,,,,,,,,,0.01,-0.4889606525552437,3,4,True,"{""mid"":4,""t0"":59.68239882952639,""t1"":93.8253867035766,""jid"":1,""oid"":0}",126.50716773973991,False
85.82528656876232,maintenance,1,"[0.9670942425727844,0.0,100.0,0.5704914927482605,0.009999999776482582,-1.6732362508773804,0.2670942544937134,0.6670942306518555,0.0,0.0,0.0,0.0,85.82528686523438]",0,DN,0.0,0.9670942554378137,0.0,100.0,0.5704914638762678,0,0.0012656000063512173,0.010124800050809738,0.0,85.82528656876232,0.01,-1.6732362260543052,,,,,,
93.8253867035766,maintenance,4,"[0.9056886434555054,0.0,100.0,0.17431461811065674,0.009999999776482582,-0.3332449495792389,0.20568862557411194,0.6056886315345764,0.0,0.0,0.0,0.0,93.82538604736328]",0,DN,0.0,0.905688622754491,0.0,100.0,0.17431461654015645,0,0.0023362103497414914,0.01868968279793193,0.0,93.8253867035766,0.01,-0.33324496073439236,,,,,,
93.8253867035766,scheduling,,"[8.0,1.0,1.0,2.0,0.009999999776482582,-0.3332449495792389,-7.661658763885498,-7.661658763885498,0.17431461811065674,1.0,0.0]",,,,,,,,,,,,,0.01,-0.33324496073439236,0,1,True,"{""mid"":6,""t0"":93.8253867035766,""t1"":124.61637284166983,""jid"":1,""oid"":1}",126.50716773973991,False
115.10591338401724,scheduling,,"[7.0,2.0,2.0,3.0,0.014999999664723873,-0.6294223070144653,-14.47109317779541,-26.04796600341797,0.30356255173683167,0.5,0.125]",,,,,,,,,,,,,0.015,-0.6294222782792404,0,1,True,"{""mid"":1,""t0"":115.10591338401724,""t1"":138.0451283736602,""jid"":2,""oid"":0}",215.90091020783,False
124.61637284166983,maintenance,6,"[0.9162479043006897,0.0,100.0,0.19317741692066193,0.014999999664723873,-0.35346585512161255,0.21624790132045746,0.6162478923797607,0.0,0.0,0.0,0.0,124.61637115478516]",0,DN,0.0,0.916247906197655,0.0,100.0,0.19317741345947592,0,0.0021025931374533216,0.016820745099626572,0.0,124.61637284166983,0.015,-0.35346584404913733,,,,,,
124.61637284166983,scheduling,,"[7.0,2.0,2.0,3.0,0.014999999664723873,-0.35346585512161255,-8.5860595703125,-9.325579643249512,0.19317741692066193,1.0,0.125]",,,,,,,,,,,,,0.015,-0.35346584404913733,0,3,True,"{""mid"":2,""t0"":124.61637284166983,""t1"":134.16882652829713,""jid"":1,""oid"":2}",126.50716773973991,True
134.16882652829713,maintenance,2,"[0.9774919748306274,0.0,100.0,0.3790923058986664,0.014999999664723873,-0.8592493534088135,0.277491956949234,0.6774919629096985,0.0,0.0,0.0,0.0,134.1688232421875]",0,DN,0.0,0.977491961414791,0.0,100.0,0.3790922933387072,0,0.0011407594835093843,0.009126075868075074,0.0,134.16882652829713,0.015,-0.8592493529588712,,,,,,
134.16882652829713,scheduling,,"[7.0,1.0,1.0,3.0,0.014999999664723873,-0.8592493534088135,-19.06291389465332,-19.06291389465332,0.3790923058986664,1.0,0.125]",,,,,,,,,,,,,0.015,-0.8592493529588712,3,4,True,"{""mid"":2,""t0"":134.16882652829713,""t1"":182.09405667134146,""jid"":2,""oid"":0}",215.90091020783,False
138.0451283736602,maintenance,1,"[0.9464584589004517,-0.020635806024074554,31.3270263671875,0.0,0.014999999664723873,0.5607336759567261,0.24645845592021942,0.6464584469795227,0.0,0.0,0.0,0.0,138.04513549804688]",0,DN,0.0,0.9464584495259342,-0.020635805911879523,31.327027027027043,0.0,0,0.001555215867052765,0.01244172693642212,0.0,138.0451283736602,0.015,0.5607336994664757,,,,,,
138.0451283736602,scheduling,,"[7.0,1.0,1.0,3.0,0.014999999664723873,0.5607336759567261,12.49300765991211,12.49300765991211,0.0,0.0,0.125]",,,,,,,,,,,,,0.015,0.5607336994664757,3,0,True,"{""mid"":1,""t0"":138.0451283736602,""t1"":151.32692046950058,""jid"":2,""oid"":1}",215.90091020783,False
146.40317446106837,scheduling,,"[6.0,2.0,2.0,4.0,0.019999999552965164,0.09279640018939972,2.0674808025360107,0.41349613666534424,0.0,0.0,0.25]",,,,,,,,,,,,,0.02,0.09279639985837296,0,1,True,"{""mid"":4,""t0"":146.40317446106837,""t1"":156.42086637505585,""jid"":3,""oid"":0}",192.0892325308463,False
151.32692046950058,maintenance,1,"[0.9375348687171936,-0.008923592045903206,71.4437484741211,0.0,0.019999999552965164,0.19808197021484375,0.23753485083580017,0.6375348567962646,0.0,0.0,0.0,0.0,151.32691955566406]",0,DN,0.0,0.9375348577802566,-0.008923591745677584,71.44375000000042,0.0,0,0.0017001306883864997,0.013601045507091998,0.0,151.32692046950058,0.02,0.1980819759001723,,,,,,
151.32692046950058,scheduling,,"[6.0,2.0,2.0,4.0,0.019999999552965164,0.19808197021484375,4.215180397033691,-3.095960855484009,0.0,0.5,0.25]",,,,,,,,,,,,,0.02,0.1980819759001723,0,1,True,"{""mid"":1,""t0"":151.32692046950058,""t1"":170.5802859979772,""jid"":3,""oid"":0}",192.0892325308463,False
156.42086637505585,maintenance,4,"[0.8892215490341187,-0.01646706648170948,35.78181838989258,0.0,0.019999999552965164,0.561112105846405,0.1892215609550476,0.5892215371131897,0.0,0.0,0.0,0.0,156.42086791992188]",0,DN,0.0,0.8892215568862275,-0.01646706586826352,35.78181818181808,0.0,0,0.0027532517322239203,0.022026013857791363,0.0,156.42086637505585,0.02,0.5611121237735408,,,,,,
