time,event,mid,state,action,kind,duration,h,dh,eta,slack_pressure,goal,rule,dispatched,op,job_due,overdue
76.06994306960362,scheduling,,"[8.0,1.0,1.0,1.0,49.9116096496582,49.9116096496582,0.0,0.0]",,,,,,,,0,5,True,"{""mid"":2,""t0"":76.06994306960362,""t1"":113.02672089754117,""jid"":0,""oid"":0}",225.80477008771504,False
82.0945032615108,scheduling,,"[7.0,2.0,2.0,2.0,63.860145568847656,43.88705062866211,0.0,0.125]",,,,,,,,2,2,True,"{""mid"":6,""t0"":82.0945032615108,""t1"":87.19588312759677,""jid"":0,""oid"":0}",225.80477008771504,False
87.19588312759677,maintenance,6,"[0.9966499209403992,0.0,100.0,0.0,0.29664990305900574,0.6966499090194702,0.0,0.0,0.0,87.19588470458984]",0,DN,0.0,0.9966499162479062,0.0,100.0,0.0,,,,,,
87.19588312759677,scheduling,,"[7.0,2.0,2.0,2.0,70.27046203613281,61.809059143066406,0.0,0.125]",,,,,,,,2,3,True,"{""mid"":0,""t0"":87.19588312759677,""t1"":107.63565674934463,""jid"":0,""oid"":1}",225.80477008771504,False
91.2820649434416,scheduling,,"[6.0,3.0,3.0,3.0,60.33666229248047,48.64143371582031,0.0,0.25]",,,,,,,,2,5,True,"{""mid"":4,""t0"":91.2820649434416,""t1"":97.01508570014995,""jid"":2,""oid"":0}",237.20636143874947,False
96.20453892982074,scheduling,,"[5.0,4.0,4.0,4.0,46.96237564086914,21.60694122314453,0.0,0.375]",,,,,,,,2,2,True,"{""mid"":7,""t0"":96.20453892982074,""t1"":134.19022787867976,""jid"":0,""oid"":1}",225.80477008771504,False
97.01508570014995,maintenance,4,"[0.9955089688301086,0.0,100.0,0.0,0.2955089807510376,0.6955089569091797,0.0,0.0,0.0,97.01508331298828]",0,DN,0.0,0.9955089820359282,0.0,100.0,0.0,,,,,,
97.01508570014995,scheduling,,"[5.0,4.0,4.0,4.0,52.82138442993164,20.79639434814453,0.0,0.375]",,,,,,,,2,2,True,"{""mid"":1,""t0"":97.01508570014995,""t1"":129.6788446176644,""jid"":1,""oid"":0}",333.59422504876676,False
107.63565674934463,maintenance,0,"[0.9877232313156128,0.0,100.0,0.0,0.28772321343421936,0.6877232193946838,0.0,0.0,0.0,107.63565826416016]",0,DN,0.0,0.9877232142857143,0.0,100.0,0.0,,,,,,
107.63565674934463,scheduling,,"[5.0,4.0,4.0,4.0,49.1313362121582,10.175824165344238,0.0,0.375]",,,,,,,,2,2,True,"{""mid"":5,""t0"":107.63565674934463,""t1"":141.91825333056187,""jid"":1,""oid"":0}",333.59422504876676,False
