time,event,mid,state,action,kind,duration,h,dh,eta,slack_pressure,wear,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue
1.2665954066650873,scheduling,,"[8.0,1.0,1.0,1.0,-68.4896011352539,-68.4896011352539,1.0,0.0,0.004999999888241291,0.5]",,,,,,,,,0.005,0.5,0,1,True,"{""mid"":7,""t0"":1.2665954066650873,""t1"":6.8948997603780215,""jid"":0,""oid"":0}",69.75619441994448,False
6.8948997603780215,maintenance,7,"[0.9775280952453613,0.0,0.0,100.0,0.5118764638900757,0.004999999888241291,0.5,0.2775280773639679,0.6775280833244324,0.0,0.0,0.0,6.894899845123291]",0,DN,0.0,0.9775280898876404,0.0,100.0,0.5118764850245412,0.0,0.005,0.5,,,,,,
6.8948997603780215,scheduling,,"[8.0,1.0,1.0,1.0,-49.373329162597656,-49.373329162597656,1.0,0.0,0.004999999888241291,0.5]",,,,,,,,,0.005,0.5,2,5,True,"{""mid"":0,""t0"":6.8948997603780215,""t1"":33.9393702381053,""jid"":0,""oid"":1}",69.75619441994448,False
17.45216022831394,scheduling,,"[7.0,2.0,2.0,2.0,-55.54146957397461,-59.93059158325195,1.0,0.125,0.009999999776482582,0.5]",,,,,,,,,0.01,0.5,2,4,True,"{""mid"":5,""t0"":17.45216022831394,""t1"":29.782943083876823,""jid"":0,""oid"":1}",69.75619441994448,False
29.782943083876823,maintenance,5,"[0.9754464030265808,0.0,0.0,100.0,0.6110724806785583,0.009999999776482582,0.5,0.27544641494750977,0.6754464507102966,0.0,0.0,0.0,29.782943725585938]",0,DN,0.0,0.9754464285714286,0.0,100.0,0.6110725075602703,0.0,0.01,0.5,,,,,,
29.782943083876823,scheduling,,"[7.0,2.0,2.0,2.0,-58.028438568115234,-63.48312759399414,1.0,0.125,0.009999999776482582,0.5]",,,,,,,,,0.01,0.5,2,4,True,"{""mid"":3,""t0"":29.782943083876823,""t1"":39.90043849477223,""jid"":1,""oid"":0}",68.6045052672042,False
33.9393702381053,maintenance,0,"[0.9441964030265808,0.0,0.0,100.0,0.5571223497390747,0.009999999776482582,0.5,0.24419642984867096,0.6441964507102966,0.0,0.0,0.0,33.939369201660156]",0,DN,0.0,0.9441964285714286,0.0,100.0,0.5571223786518321,0.0,0.01,0.5,,,,,,
33.9393702381053,scheduling,,"[7.0,2.0,2.0,2.0,-46.11676788330078,-67.63955688476562,1.0,0.125,0.009999999776482582,0.5]",,,,,,,,,0.01,0.5,2,4,True,"{""mid"":6,""t0"":33.9393702381053,""t1"":72.07051842276725,""jid"":1,""oid"":0}",68.6045052672042,True
39.90043849477223,maintenance,3,"[0.9730538725852966,0.0,0.0,100.0,0.5379768013954163,0.009999999776482582,0.5,0.2730538845062256,0.6730539202690125,0.0,0.0,0.0,39.90044021606445]",0,DN,0.0,0.9730538922155688,0.0,100.0,0.5379768048226525,0.0,0.01,0.5,,,,,,
39.90043849477223,scheduling,,"[7.0,2.0,2.0,2.0,-40.01567459106445,-49.47630310058594,1.0,0.125,0.009999999776482582,0.5]",,,,,,,,,0.01,0.5,2,4,True,"{""mid"":0,""t0"":39.90043849477223,""t1"":54.75492451407532,""jid"":1,""oid"":1}",68.6045052672042,False
54.75492451407532,maintenance,0,"[0.9140625,0.0,-0.0301339291036129,20.377777099609375,0.6056442856788635,0.009999999776482582,0.5,0.21406249701976776,0.614062488079071,0.0,0.0,0.0,54.75492477416992]",0,DN,0.0,0.9140625,-0.030133928571428603,20.377777777777755,0.6056442888637832,0.0,0.01,0.5,,,,,,
54.75492451407532,scheduling,,"[7.0,2.0,2.0,2.0,-44.43120574951172,-45.4095344543457,1.0,0.125,0.009999999776482582,0.5]",,,,,,,,,0.01,0.5,2,4,True,"{""mid"":1,""t0"":54.75492451407532,""t1"":78.67775152241131,""jid"":0,""oid"":3}",69.75619441994448,True
72.07051842276725,maintenance,6,"[0.876046895980835,0.0,0.0,100.0,0.6309814453125,0.009999999776482582,0.5,0.17604690790176392,0.576046884059906,0.0,0.0,0.0,72.07051849365234]",0,DN,0.0,0.8760469011725294,0.0,100.0,0.6309814522073082,0.0,0.01,0.5,,,,,,
72.07051842276725,scheduling,,"[7.0,2.0,2.0,2.0,-44.380252838134766,-62.725128173828125,1.0,0.125,0.009999999776482582,0.5]",,,,,,,,,0.01,0.5,2,4,True,"{""mid"":2,""t0"":72.07051842276725,""t1"":116.53001552327659,""jid"":0,""oid"":3}",69.75619441994448,True
77.79245555972352,scheduling,,"[6.0,3.0,3.0,3.0,-41.204132080078125,-68.44706726074219,1.0,0.25,0.014999999664723873,0.5]",,,,,,,,,0.015,0.49999999999999994,2,5,True,"{""mid"":3,""t0"":77.79245555972352,""t1"":96.55922922747443,""jid"":0,""oid"":3}",69.75619441994448,True
78.67775152241131,maintenance,1,"[0.9760178327560425,0.0,0.0,100.0,0.5439731478691101,0.014999999664723873,0.5,0.27601784467697144,0.6760178208351135,0.0,0.0,0.0,78.67774963378906]",0,DN,0.0,0.9760178471834914,0.0,100.0,0.5439731613629935,0.0,0.015,0.49999999999999994,,,,,,
78.67775152241131,scheduling,,"[6.0,3.0,3.0,3.0,-31.408143997192383,-37.288509368896484,1.0,0.25,0.014999999664723873,0.5]",,,,,,,,,0.015,0.49999999999999994,1,3,True,"{""mid"":5,""t0"":78.67775152241131,""t1"":88.26479357225536,""jid"":1,""oid"":3}",68.6045052672042,True
88.26479357225536,maintenance,5,"[0.9553571343421936,0.0,-0.02008928544819355,32.622222900390625,0.6355802416801453,0.014999999664723873,0.5,0.25535714626312256,0.6553571224212646,0.0,0.0,0.0,88.2647933959961]",0,DN,0.0,0.9553571428571429,-0.0200892857142857,32.622222222222256,0.6355802379665825,0.0,0.015,0.49999999999999994,,,,,,
88.26479357225536,scheduling,,"[6.0,2.0,2.0,3.0,-40.37795639038086,-46.875553131103516,1.0,0.25,0.014999999664723873,0.5]",,,,,,,,,0.015,0.49999999999999994,2,4,True,"{""mid"":4,""t0"":88.26479357225536,""t1"":137.5787906940181,""jid"":2,""oid"":0}",101.20047671806287,True
96.55922922747443,maintenance,3,"[0.9191616773605347,0.0,-0.053892213851213455,11.48888874053955,0.6515880823135376,0.014999999664723873,0.5,0.21916167438030243,0.6191616654396057,0.0,0.0,0.0,96.5592269897461]",0,DN,0.0,0.9191616766467066,-0.053892215568862256,11.488888888888892,0.6515880972850089,0.0,0.015,0.49999999999999994,,,,,,
96.55922922747443,scheduling,,"[6.0,1.0,1.0,3.0,-42.1747932434082,-42.1747932434082,1.0,0.25,0.014999999664723873,0.5]",,,,,,,,,0.015,0.49999999999999994,2,4,True,"{""mid"":5,""t0"":96.55922922747443,""t1"":111.08837527769131,""jid"":2,""oid"":0}",101.20047671806287,True
110.09130800513523,scheduling,,"[5.0,2.0,2.0,4.0,-67.00692749023438,-78.3069839477539,1.0,0.375,0.019999999552965164,0.5]",,,,,,,,,0.02,0.5,1,4,True,"{""mid"":1,""t0"":110.09130800513523,""t1"":130.98669405631205,""jid"":3,""oid"":0}",188.39829286137913,False
111.08837527769131,maintenance,5,"[0.921875,0.0,-0.0334821417927742,18.573333740234375,0.7251766324043274,0.019999999552965164,0.5,0.22187499701976776,0.621874988079071,0.0,0.0,0.0,111.08837890625]",0,DN,0.0,0.921875,-0.033482142857142905,18.573333333333306,0.7251766485472859,0.0,0.02,0.5,,,,,,
111.08837527769131,scheduling,,"[5.0,2.0,2.0,4.0,-51.665069580078125,-79.3040542602539,1.0,0.375,0.019999999552965164,0.5]",,,,,,,,,0.02,0.5,2,5,True,"{""mid"":7,""t0"":111.08837527769131,""t1"":156.7869200405076,""jid"":3,""oid"":0}",188.39829286137913,False
116.53001552327659,maintenance,2,"[0.86012864112854,0.0,0.0,100.0,0.7601323127746582,0.019999999552965164,0.5,0.1601286232471466,0.5601286292076111,0.0,0.0,0.0,116.53001403808594]",0,DN,0.0,0.860128617363344,0.0,100.0,0.7601322986987652,0.0,0.02,0.5,,,,,,
116.53001552327659,scheduling,,"[5.0,2.0,2.0,4.0,-57.10670852661133,-84.74568939208984,1.0,0.375,0.019999999552965164,0.5]",,,,,,,,,0.02,0.5,2,5,True,"{""mid"":0,""t0"":116.53001552327659,""t1"":135.21188526827476,""jid"":2,""oid"":1}",101.20047671806287,True
130.98669405631205,maintenance,1,"[0.952035665512085,0.0,-0.023982152342796326,27.188371658325195,0.7414013147354126,0.019999999552965164,0.5,0.2520357072353363,0.6520357131958008,0.0,0.0,0.0,130.9866943359375]",0,DN,0.0,0.9520356943669828,-0.023982152816508617,27.188372093023286,0.7414013177640886,0.0,0.02,0.5,,,,,,
130.98669405631205,scheduling,,"[5.0,2.0,2.0,4.0,-54.099117279052734,-64.2738265991211,1.0,0.375,0.019999999552965164,0.5]",,,,,,,,,0.02,0.5,2,4,True,"{""mid"":2,""t0"":130.98669405631205,""t1"":157.8912940642561,""jid"":3,""oid"":1}",188.39829286137913,False
135.21188526827476,maintenance,0,"[0.8727678656578064,0.0,-0.0412946417927742,13.870270729064941,0.8195813894271851,0.019999999552965164,0.5,0.17276786267757416,0.5727678537368774,0.0,0.0,0.0,135.21188354492188]",0,DN,0.0,0.8727678571428571,-0.041294642857142905,13.870270270270256,0.8195813758775292,0.0,0.02,0.5,,,,,,
135.21188526827476,scheduling,,"[5.0,1.0,1.0,4.0,-68.49901580810547,-68.49901580810547,1.0,0.375,0.019999999552965164,0.5]",,,,,,,,,0.02,0.5,2,4,True,"{""mid"":0,""t0"":135.21188526827476,""t1"":168.45381545768674,""jid"":3,""oid"":1}",188.39829286137913,False
137.5787906940181,maintenance,4,"[0.848802387714386,0.0,0.0,100.0,0.8299474716186523,0.019999999552965164,0.5,0.14880239963531494,0.548802375793457,0.0,0.0,0.0,137.57879638671875]",0,DN,0.0,0.8488023952095808,0.0,100.0,0.8299475014144613,0.0,0.02,0.5,,,,,,
137.5787906940181,scheduling,,"[5.0,1.0,1.0,4.0,-70.86592102050781,-70.86592102050781,1.0,0.375,0.019999999552965164,0.5]",,,,,,,,,0.02,0.5,2,4,True,"{""mid"":4,""t0"":137.5787906940181,""t1"":186.6758261852393,""jid"":3,""oid"":1}",188.39829286137913,False
137.9675364969043,scheduling,,"[4.0,2.0,2.0,5.0,-59.3715705871582,-71.25466918945312,1.0,0.5,0.02500000037252903,0.5]",,,,,,,,,0.025,0.49999999999999994,1,4,True,"{""mid"":3,""t0"":137.9675364969043,""t1"":171.30626058468383,""jid"":4,""oid"":0}",185.45601027352097,False
