time,event,maint_mode,maint_seq_global,maint_seq_machine,mid,state,action,kind,duration,h,dh,eta,slack_pressure,im_count,im_damage,risk_h,risk_trend,im_longterm_penalty,opportunity_cost,p_fail,expected_fail_cost,downtime_cost,delta_t_since_last_maint,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue,local_urgency,breakdown_flag,breakdown_cost,t_e,t_l,window_violation,risk_t,mat_cost,scrap_part_cost
0.17010162510487903,scheduling,DQN,,,,"[6.0,1.0,1.0,1.0,200.0,2.0,79.40615844726562,79.40615844726562,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,200.0,2.0,1,1,True,"{""mid"":1,""t0"":0.17010162510487903,""t1"":11.053498677682152,""jid"":0,""oid"":0}",158.98242047021344,False,,False,0.0,,,,,,0.0
11.053498677682152,maintenance,DQN,1,1,1,"[0.9740637540817261,0.0,100.0,0.0,0.0,79.40615844726562,200.0,2.0,0.00015992627595551312,0.0,119.92326354980469,0.9740637540817261,0.009999999776482582,11.053498268127441,0.002057429403066635,0.011591116897761822,0.0015780794201418757]",2,CM,20.0,0.9740637643603837,0.0,100.0,0.0,0,0.0,0.00015992628259597777,0.0,0.0,0.0,0.00015992628259597777,0.0,0.0,11.053498677682152,200.0,2.0,,,,,,,0.0,False,0.0,11.053498677682152,130.97675861016052,False,0.00015992628259597777,2.0,0.0
11.053498677682152,scheduling,DQN,,,,"[5.0,1.0,1.0,1.0,200.0,2.0,79.40615844726562,79.40615844726562,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,200.0,2.0,0,4,True,"{""mid"":2,""t0"":11.053498677682152,""t1"":31.136279618688285,""jid"":0,""oid"":1}",158.98242047021344,False,,False,0.0,,,,,,0.0
31.136279618688285,maintenance,DQN,2,1,2,"[0.9660456776618958,0.0,100.0,0.0,0.0,95.77413940429688,200.0,2.0,0.00017327512614428997,0.0,119.91685485839844,0.9660456776618958,0.009999999776482582,31.136280059814453,0.0021715196780860424,0.011591116897761822,0.0015780794201418757]",2,CM,20.0,0.9660456632023515,0.0,100.0,0.0,0,0.0,0.00017327512267877157,0.0,0.0,0.0,0.00017327512267877157,0.0,0.0,31.136279618688285,200.0,2.0,,,,,,,0.0,False,0.0,31.136279618688285,151.0531363764419,False,0.00017327512267877157,2.0,0.0
31.136279618688285,scheduling,DQN,,,,"[5.0,1.0,1.0,1.0,200.0,2.0,95.77413940429688,95.77413940429688,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,200.0,2.0,0,4,True,"{""mid"":0,""t0"":31.136279618688285,""t1"":84.36858030148596,""jid"":0,""oid"":2}",158.98242047021344,False,,False,0.0,,,,,,0.0
84.36858030148596,maintenance,DQN,3,1,0,"[0.9749557971954346,0.0,100.0,0.0,0.0,150.0,200.0,2.0,0.00015850622730795294,0.0,119.92394256591797,0.9749557971954346,0.009999999776482582,84.36858367919922,0.002277373569086194,0.011591116897761822,0.0015780794201418757]",2,CM,20.0,0.9749558128874052,0.0,100.0,0.0,0,0.0,0.0001585062318634552,0.0,0.0,0.0,0.0001585062318634552,0.0,0.0,84.36858030148596,200.0,2.0,,,,,,,0.0,False,0.0,84.36858030148596,204.29252142435143,False,0.0001585062318634552,2.0,0.0
84.63525098203837,scheduling,DQN,,,,"[5.0,1.0,1.0,2.0,84.46514892578125,2.0,84.5216064453125,84.5216064453125,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,84.4651493569335,2.0,0,4,True,"{""mid"":2,""t0"":84.63525098203837,""t1"":117.78964355222595,""jid"":1,""oid"":0}",253.67846086667407,False,,False,0.0,,,,,,0.0
86.96413149066838,scheduling,DQN,,,,"[4.0,2.0,1.0,3.0,43.39701461791992,2.0,87.88198852539062,83.33057403564453,0.0,0.1666666716337204,0.0,0.0]",,,,,,,,,,,,,,,,,,43.39701493278175,2.0,0,4,True,"{""mid"":1,""t0"":86.96413149066838,""t1"":97.65138408829957,""jid"":2,""oid"":0}",274.1066324972041,False,,False,0.0,,,,,,0.0
97.65138408829957,maintenance,DQN,4,2,1,"[0.9763328433036804,-0.02366716042160988,37.027374267578125,0.0,0.0,84.77265930175781,43.39701461791992,2.0,0.00015633885050192475,0.0,119.92498016357422,0.9763328433036804,0.009999999776482582,66.59788513183594,0.0019785251934081316,0.011591116897761822,0.0015780794201418757]",2,CM,20.0,0.9763328394995976,-0.023667160500402407,37.027375526721826,0.0,0,0.0,0.00015633885701758784,0.0,0.0,0.0,0.00015633885701758784,0.0,0.0,66.59788541061741,43.39701493278175,2.0,,,,,,,0.0,False,0.0,97.65138408829957,217.5763648962054,False,0.00015633885701758784,2.0,0.0
97.65138408829957,scheduling,DQN,,,,"[3.0,2.0,1.0,3.0,43.39701461791992,2.0,84.77265930175781,74.1589126586914,0.0,0.1666666716337204,0.0,0.0]",,,,,,,,,,,,,,,,,,43.39701493278175,2.0,0,4,True,"{""mid"":4,""t0"":97.65138408829957,""t1"":113.6112724980628,""jid"":2,""oid"":1}",274.1066324972041,False,,False,0.0,,,,,,0.0
113.6112724980628,maintenance,DQN,5,1,4,"[0.9830148220062256,0.0,100.0,0.0,0.0,81.28267669677734,43.39701461791992,2.0,0.00014623513561673462,0.0,119.92982482910156,0.9830148220062256,0.009999999776482582,113.61127471923828,0.0019502976210787892,0.011591116897761822,0.0015780794201418757]",2,CM,20.0,0.983014848747027,0.0,100.0,0.0,0,0.0,0.00014623513276952051,0.0,0.0,0.0,0.00014623513276952051,0.0,0.0,113.6112724980628,43.39701493278175,2.0,,,,,,,0.0,False,0.0,113.6112724980628,233.5411001596567,False,0.00014623513276952051,2.0,0.0
113.6112724980628,scheduling,DQN,,,,"[3.0,2.0,1.0,3.0,43.39701461791992,2.0,81.28267669677734,60.69300079345703,0.0,0.1666666716337204,0.0,0.0]",,,,,,,,,,,,,,,,,,43.39701493278175,2.0,0,4,True,"{""mid"":0,""t0"":113.6112724980628,""t1"":166.6294783594367,""jid"":2,""oid"":2}",274.1066324972041,False,,False,0.0,,,,,,0.0
117.78964355222595,maintenance,DQN,6,2,2,"[0.9592639207839966,-0.040736060589551926,21.093446731567383,0.0,0.0,90.87928009033203,43.39701461791992,2.0,0.00018543153419159353,0.0,119.91102600097656,0.9592639207839966,0.009999999776482582,66.65336608886719,0.0022691020276397467,0.011591116897761822,0.0015780794201418757]",2,CM,20.0,0.9592639381152342,-0.04073606188476575,21.093446404954946,0.0,0,0.0,0.00018543153457746902,0.0,0.0,0.0,0.00018543153457746902,0.0,0.0,66.65336393353766,43.39701493278175,2.0,,,,,,,0.0,False,0.0,117.78964355222595,237.7006694169288,False,0.00018543153457746902,2.0,0.0
117.78964355222595,scheduling,DQN,,,,"[3.0,2.0,1.0,3.0,43.39701461791992,2.0,90.87928009033203,81.30957794189453,0.0,0.1666666716337204,0.0,0.0]",,,,,,,,,,,,,,,,,,43.39701493278175,2.0,0,4,True,"{""mid"":1,""t0"":117.78964355222595,""t1"":128.23516550685167,""jid"":1,""oid"":1}",253.67846086667407,False,,False,0.0,,,,,,0.0
128.23516550685167,maintenance,DQN,7,3,1,"[0.9809129238128662,-0.019087059423327446,46.152366638183594,0.0,0.0,95.0896987915039,43.39701461791992,2.0,0.0001493409217800945,0.0,119.92833709716797,0.9809129238128662,0.009999999776482582,10.583781242370605,0.0020750947296619415,0.011591116897761822,0.0015780794201418757]",2,CM,20.0,0.9809129406536601,-0.01908705934633992,46.15236557236259,0.0,0,0.0,0.00014934092796276815,0.0,0.0,0.0,0.00014934092796276815,0.0,0.0,10.583781418552107,43.39701493278175,2.0,,,,,,,0.0,False,0.0,128.23516550685167,248.16350326777112,False,0.00014934092796276815,2.0,0.0
128.23516550685167,scheduling,DQN,,,,"[2.0,2.0,1.0,3.0,43.39701461791992,2.0,95.0896987915039,92.93463897705078,0.0,0.1666666716337204,0.0,0.0]",,,,,,,,,,,,,,,,,,43.39701493278175,2.0,0,5,True,"{""mid"":3,""t0"":128.23516550685167,""t1"":160.50581648199773,""jid"":1,""oid"":2}",253.67846086667407,False,,False,0.0,,,,,,0.0
160.50581648199773,maintenance,DQN,8,1,3,"[0.9750802516937256,0.0,100.0,0.0,0.0,60.12522888183594,43.39701461791992,2.0,0.00015830915072001517,0.0,119.92403411865234,0.9750802516937256,0.009999999776482582,160.5058135986328,0.0020672823302447796,0.011591116897761822,0.0015780794201418757]",2,CM,20.0,0.9750802461551795,0.0,100.0,0.0,0,0.0,0.00015830915124590076,0.0,0.0,0.0,0.00015830915124590076,0.0,0.0,160.50581648199773,43.39701493278175,2.0,,,,,,,0.0,False,0.0,160.50581648199773,280.42985214363796,False,0.00015830915124590076,2.0,0.0
166.6294783594367,maintenance,DQN,9,2,0,"[0.9798658490180969,-0.02013413980603218,43.700199127197266,0.0,0.0,86.84861755371094,43.39701461791992,2.0,0.00015091263048816472,0.0,119.92758178710938,0.9798658490180969,0.009999999776482582,62.26089859008789,0.002035165671259165,0.011591116897761822,0.0015780794201418757]",2,CM,20.0,0.9798658609654481,-0.020134139034551857,43.70019793026785,0.0,0,0.0,0.0001509126245991811,0.0,0.0,0.0,0.0001509126245991811,0.0,0.0,62.260898057950726,43.39701493278175,2.0,,,,,,,0.0,False,0.0,166.6294783594367,286.55706215886585,False,0.0001509126245991811,2.0,0.0
166.6294783594367,scheduling,DQN,,,,"[4.0,1.0,1.0,3.0,43.39701461791992,2.0,86.84861755371094,86.84861755371094,0.0,0.0,0.0,0.0]",,,,,,,,,,,,,,,,,,43.39701493278175,2.0,0,1,True,"{""mid"":5,""t0"":166.6294783594367,""t1"":172.02496977276766,""jid"":2,""oid"":3}",274.1066324972041,False,,False,0.0,,,,,,0.0
