mid,maint_seq_machine,status,primary_mode,compare_mode,primary_action,compare_action,primary_time,compare_time,primary_h,compare_h,primary_duration,compare_duration
0,1,same_action,flat_ddqn,hier_ddqn,DN,DN,69.38013289389912,143.50315657819144,0.9223571329253064,0.9686594171362156,0.0,0.0
0,2,same_action,flat_ddqn,hier_ddqn,DN,DN,123.27418623436732,198.39128942875513,0.8577371006090861,0.9269534473198578,0.0,0.0
0,3,same_action,flat_ddqn,hier_ddqn,DN,DN,169.6749668842058,222.32594589270929,0.7553269019808365,0.8800746794833912,0.0,0.0
0,4,same_action,flat_ddqn,hier_ddqn,DN,DN,203.08892059928533,257.90987197897203,0.7068876054476811,0.8254545056730298,0.0,0.0
0,5,same_action,flat_ddqn,hier_ddqn,DN,DN,227.0235770632395,275.89573509918307,0.6568455353697347,0.7966241042107882,0.0,0.0
0,6,same_action,flat_ddqn,hier_ddqn,DN,DN,261.68811013158194,305.73565884104136,0.5993973084771225,0.7632500667206775,0.0,0.0
0,7,same_action,flat_ddqn,hier_ddqn,DN,DN,279.673973251793,366.91248692549914,0.5680567715736046,0.7248502566521716,0.0,0.0
0,8,same_action,flat_ddqn,hier_ddqn,DN,DN,305.73565884104136,406.6678472625726,0.5346827340834939,0.6987472232670707,0.0,0.0
0,9,same_action,flat_ddqn,hier_ddqn,DN,DN,337.15998259381877,434.5053705022973,0.48400356918371196,0.6763558521220049,0.0,0.0
0,10,same_action,flat_ddqn,hier_ddqn,DN,DN,366.91248692549914,441.96322238721723,0.4456037591152059,0.6646046721651553,0.0,0.0
0,11,same_action,flat_ddqn,hier_ddqn,DN,DN,406.6678472625726,471.79076558131345,0.4195007257301051,0.6176060413056078,0.0,0.0
0,12,same_action,flat_ddqn,hier_ddqn,DN,DN,434.5053705022973,492.38788321134246,0.3971093545850393,0.5851515973721895,0.0,0.0
0,13,same_action,flat_ddqn,hier_ddqn,DN,DN,441.96322238721723,509.77627859340987,0.38535817462818966,0.5577530694249263,0.0,0.0
0,14,same_action,flat_ddqn,hier_ddqn,DN,DN,471.79076558131345,536.4409153203201,0.3383595437686422,0.5117367439886995,0.0,0.0
0,15,same_action,flat_ddqn,hier_ddqn,DN,DN,495.8766246938506,577.9060256872808,0.310961015821379,0.44640104392765945,0.0,0.0
0,16,same_action,flat_ddqn,hier_ddqn,DN,DN,503.56602596218187,625.4351744275962,0.29884498838359913,0.3715103664696267,0.0,0.0
0,17,same_action,flat_ddqn,hier_ddqn,DN,DN,536.5648862356326,633.041288648409,0.2468493800733355,0.359525572676409,0.0,0.0
