time,event,maint_mode,maint_seq_global,maint_seq_machine,mid,state,action,kind,duration,h,dh,eta,slack_pressure,im_count,im_damage,risk_h,risk_trend,im_longterm_penalty,opportunity_cost,p_fail,expected_fail_cost,downtime_cost,delta_t_since_last_maint,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue,local_urgency,breakdown_flag,breakdown_kind,breakdown_cost,breakdown_count,hard_breakdown_count,stochastic_breakdown_count,requeued_op_count,interrupted_proc_time,t_e,t_l,window_violation,risk_t,mat_cost,scrap_part_cost
0.17010162510487903,scheduling,POMCP,,,,"[6.0,1.0,1.0,1.0,200.0,2.0,79.40615844726562,79.40615844726562,0.0,0.0,0.0,0.0,0.00012479671568144113,0.00013180740643292665]",,,,,,,,,,,,,,,,,,200.0,2.0,0,2,True,"{""mid"":1,""t0"":0.17010162510487903,""t1"":11.053498677682152,""jid"":0,""oid"":0,""status"":""DONE""}",158.98242047021344,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
11.053498677682152,maintenance,POMCP,1,1,1,"[0.9613379836082458,0.0,100.0,0.0,0.0,79.40615844726562,200.0,2.0,0.0001816259027691558,0.0,119.91284942626953,0.9613379836082458,0.009999999776482582,11.053498268127441,0.0030639199540019035,0.0029813547153025866,0.0029693928081542253]",0,DN,0.0,0.961337983347801,0.0,100.0,0.0,0,0.0,0.00018162590089836628,0.0,0.0,0.0,3.5256470336059077e-05,0.04555135967418833,0.0,11.053498677682152,200.0,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,11.053498677682152,130.9663499060324,False,0.00018162590089836628,0.0,0.0
11.053498677682152,scheduling,POMCP,,,,"[6.0,1.0,1.0,1.0,200.0,2.0,79.40615844726562,79.40615844726562,0.0,0.0,0.0,0.0,0.00013542607484851032,0.00015887708286754787]",,,,,,,,,,,,,,,,,,200.0,2.0,0,2,True,"{""mid"":2,""t0"":11.053498677682152,""t1"":31.136279618688285,""jid"":0,""oid"":1,""status"":""DONE""}",158.98242047021344,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
31.136279618688285,maintenance,POMCP,2,1,2,"[0.9765710830688477,0.0,100.0,0.0,0.0,95.77413940429688,200.0,2.0,0.00015596688899677247,0.0,119.92515563964844,0.9765710830688477,0.009999999776482582,31.136280059814453,0.003395429812371731,0.003392077749595046,0.0032616620883345604]",0,DN,0.0,0.9765710880941133,0.0,100.0,0.0,0,0.0,0.00015596688326891166,0.0,0.0,0.0,6.940055811832279e-05,0.08966552108887305,0.0,31.136279618688285,200.0,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,31.136279618688285,151.06143886250558,False,0.00015596688326891166,0.0,0.0
31.136279618688285,scheduling,POMCP,,,,"[6.0,1.0,1.0,1.0,200.0,2.0,95.77413940429688,95.77413940429688,0.0,0.0,0.0,0.0,0.0001407815288985148,0.00016948256234172732]",,,,,,,,,,,,,,,,,,200.0,2.0,0,2,True,"{""mid"":2,""t0"":31.136279618688285,""t1"":42.04798749086235,""jid"":0,""oid"":2,""status"":""DONE""}",158.98242047021344,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
42.04798749086235,maintenance,POMCP,3,2,2,"[0.9591349363327026,-0.017436129972338676,49.273258209228516,0.0,0.0,150.0,200.0,2.0,0.00018567081133369356,0.0,119.9109115600586,0.9591349363327026,0.009999999776482582,42.04798889160156,0.002605884801596403,0.0026451842859387398,0.0026768564712256193]",0,DN,0.0,0.9591349573070934,-0.017436130787019888,49.27325722669308,0.0,0,0.0,0.0001856708155423119,0.0,0.0,0.0,6.430326763211596e-05,0.08307982178069381,0.0,42.04798749086235,200.0,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,42.04798749086235,161.95889858591627,False,0.0001856708155423119,0.0,0.0
84.63525098203837,scheduling,POMCP,,,,"[6.0,1.0,1.0,2.0,84.46514892578125,2.0,84.5216064453125,84.5216064453125,0.0,0.0,0.0,0.0,0.00015651449211873114,0.0002111578214680776]",,,,,,,,,,,,,,,,,,84.4651493569335,2.0,0,1,True,"{""mid"":4,""t0"":84.63525098203837,""t1"":106.58074599694947,""jid"":1,""oid"":0,""status"":""DONE""}",253.67846086667407,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
86.96413149066838,scheduling,POMCP,,,,"[5.0,2.0,1.0,3.0,43.39701461791992,2.0,87.88198852539062,83.33057403564453,0.0,0.1666666716337204,0.0,0.0,0.00015458189591299742,0.00021653254225384444]",,,,,,,,,,,,,,,,,,43.39701493278175,2.0,0,2,True,"{""mid"":1,""t0"":86.96413149066838,""t1"":97.65138408829957,""jid"":2,""oid"":0,""status"":""DONE""}",274.1066324972041,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
97.65138408829957,maintenance,POMCP,4,2,1,"[0.9541489481925964,-0.007189049385488033,118.8125,0.0,0.0,84.77265930175781,43.39701461791992,2.0,0.00019516123575158417,0.0,119.90635681152344,0.9541489481925964,0.009999999776482582,97.65138244628906,0.003119147615507245,0.0031479322351515293,0.0032938511576503515]",0,DN,0.0,0.95414893395753,-0.007189049390270985,118.81250045568731,0.0,0,0.0,0.0001951612301295148,0.0,0.0,0.0,4.5637439574271944e-05,0.05896357192995935,0.0,97.65138408829957,43.39701493278175,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,97.65138408829957,217.55774325271418,False,0.0001951612301295148,0.0,0.0
97.65138408829957,scheduling,POMCP,,,,"[5.0,2.0,1.0,3.0,43.39701461791992,2.0,84.77265930175781,74.1589126586914,0.0,0.1666666716337204,0.0,0.0,0.00015560189785901457,0.00023058330407366157]",,,,,,,,,,,,,,,,,,43.39701493278175,2.0,1,2,True,"{""mid"":2,""t0"":97.65138408829957,""t1"":124.2247062521826,""jid"":2,""oid"":1,""status"":""DONE""}",274.1066324972041,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
