episode,tard,maint,total,timestamp,seed
20,552.900393,1000.000000,1552.900393,2026-03-10 10:27:02,42
40,624.978434,1000.000000,1624.978434,2026-03-10 10:29:24,42
60,734.979483,1100.000000,1834.979483,2026-03-10 10:31:49,42
80,349.809435,800.000000,1149.809435,2026-03-10 10:34:17,42
100,318.273294,900.000000,1218.273294,2026-03-10 10:36:44,42
100,308.890607,800.000000,1108.890607,2026-03-10 10:36:48,42
